id,name,openingHours,description,address,city,latitude,longitude,capacity,isLocked,code,isBusy,lastUpdate,createdAt
1,Hilton Garden Inn Albany/SUNY Area,9:30 AM-11:00 PM,"With its world-class spa, fine dining restaurant, and luxurious accommodations, this resort is the ultimate indulgence for those seeking a pampering and luxurious getaway.",1389 Washington Ave,Albany,42.6875,-73.8164,300,TRUE,9811,FALSE,5/14/2023 10:44,5/14/2023 10:44
2,Courtyard by Marriott Albany Thruway,8:00 AM-9:30 PM,"This beachfront resort, with its white sand beaches and crystal clear waters, provides the perfect setting for a romantic getaway or family vacation.",1455 Washington Avenue,Albany,42.6897,-73.8202,250,FALSE,2263,TRUE,5/14/2023 10:44,5/14/2023 10:44
3,Radisson Hotel Albany,8:00 AM-11:00 PM,"Located in a bustling neighborhood with plenty of restaurants and nightlife, this trendy hotel is the ideal base for exploring the city's vibrant culture.",205 Wolf Rd,Albany,42.7241,-73.7982,100,TRUE,8775,TRUE,5/14/2023 10:44,5/14/2023 10:44
4,Hilton Garden Inn Albany Medical Center,9:30 AM-10:30 PM,"With its world-class golf courses, stunning natural surroundings, and luxurious accommodations, this golf resort is a dream destination for golfers and outdoor enthusiasts alike.",62 New Scotland Ave,Albany,42.6516,-73.7764,100,TRUE,8404,FALSE,5/14/2023 10:44,5/14/2023 10:44
5,CrestHill Suites SUNY University Albany,8:30 AM-11:30 PM,"Set amid acres of lush greenery and pristine wilderness, this rustic lodge offers a peaceful and rejuvenating retreat for nature lovers and outdoor enthusiasts.",1415 Washington Avenue,Albany,42.6887,-73.8185,100,FALSE,9787,TRUE,5/14/2023 10:44,5/14/2023 10:44
6,The Desmond Hotel Albany,8:30 AM-11:00 PM,"This contemporary hotel, with its sleek design and cutting-edge technology, offers a dynamic and high-energy atmosphere for guests seeking excitement and adventure.",660 Albany Shaker Rd,Albany,42.7287,-73.7981,300,TRUE,7936,FALSE,5/14/2023 10:44,5/14/2023 10:44
7,Ramada Plaza Albany,9:30 AM-10:30 PM,"This beachfront resort, with its white sand beaches and crystal clear waters, provides the perfect setting for a romantic getaway or family vacation.",3 Watervliet Avenue Ext,Albany,42.6803,-73.7844,200,TRUE,5729,TRUE,5/14/2023 10:44,5/14/2023 10:44
8,Hampton Inn & Suites Albany-Downtown,9:30 AM-9:30 PM,"Set amid acres of lush greenery and pristine wilderness, this rustic lodge offers a peaceful and rejuvenating retreat for nature lovers and outdoor enthusiasts.",25 Chapel St,Albany,42.6533,-73.7514,100,TRUE,6052,TRUE,5/14/2023 10:44,5/14/2023 10:44
9,Albany Marriott,8:00 AM-9:30 PM,"Located in a bustling neighborhood with plenty of restaurants and nightlife, this trendy hotel is the ideal base for exploring the city's vibrant culture.",189 Wolf Rd,Albany,42.7211,-73.8004,300,FALSE,6272,FALSE,5/14/2023 10:44,5/14/2023 10:44
10,Best Western Sovereign Hotel - Albany,8:00 AM-9:30 PM,"Situated in a historic building with a vibrant cultural heritage, this charming hotel offers a unique blend of old-world charm and modern amenities.",1228 Western Ave,Albany,42.6781,-73.8282,100,TRUE,6756,FALSE,5/14/2023 10:44,5/14/2023 10:44
11,Express Inn & Suites,9:00 AM-9:00 PM,"This contemporary hotel, with its sleek design and cutting-edge technology, offers a dynamic and high-energy atmosphere for guests seeking excitement and adventure.",16 Wolf Rd,Albany,42.7096,-73.821,200,TRUE,5513,FALSE,5/14/2023 10:44,5/14/2023 10:44
12,Hilton Albany,7:00 AM-9:00 PM,"This family-friendly hotel, with its spacious rooms and fun-filled amenities, provides a welcoming and entertaining environment for guests of all ages.",40 Lodge Street,Albany,42.6508,-73.7538,200,FALSE,1342,FALSE,5/14/2023 10:44,5/14/2023 10:44
13,Holiday Inn Express Albany Downtown,9:30 AM-11:00 PM,This luxurious hotel boasts a prime location in the heart of the city and features stunning panoramic views of the skyline.,300 Broadway,Albany,42.6456,-73.7499,200,FALSE,4249,TRUE,5/14/2023 10:44,5/14/2023 10:44
14,Residence Inn Albany Washington Avenue,9:00 AM-10:30 PM,"This opulent hotel, with its grand ballrooms and ornate architecture, exudes a sense of timeless elegance and sophistication.",124 Washington Avenue Extension,Albany,42.6931,-73.8494,300,FALSE,4359,FALSE,5/14/2023 10:44,5/14/2023 10:44
15,Courtyard by Marriott Albany Airport,8:00 AM-9:30 PM,"This opulent hotel, with its grand ballrooms and ornate architecture, exudes a sense of timeless elegance and sophistication.",168 Wolf Rd,Albany,42.7223,-73.8033,100,FALSE,7154,TRUE,5/14/2023 10:44,5/14/2023 10:44
16,"Cocca's Inn & Suites Wolf Rd, Albany Airport",7:00 AM-10:30 PM,"With its world-class golf courses, stunning natural surroundings, and luxurious accommodations, this golf resort is a dream destination for golfers and outdoor enthusiasts alike.",2 Wolf Road,Albany,42.709,-73.8221,200,FALSE,6885,TRUE,5/14/2023 10:44,5/14/2023 10:44
17,Days Inn and Suites Albany,8:00 AM-9:30 PM,"This family-friendly hotel, with its spacious rooms and fun-filled amenities, provides a welcoming and entertaining environment for guests of all ages.",1606 Central Avenue,Albany,42.7184,-73.8338,300,TRUE,9444,FALSE,5/14/2023 10:44,5/14/2023 10:44
18,Howard Johnson Inn - Albany,9:30 AM-10:30 PM,"Nestled among lush tropical gardens, this boutique hotel offers a serene and tranquil retreat for guests seeking peace and relaxation.",1614 Central Ave,Albany,42.7191,-73.8346,250,TRUE,9797,TRUE,5/14/2023 10:44,5/14/2023 10:44
